"","Team","S","Kills","Errors","Total.Attacks","Hitting.Pct.","X","Y","Wins","Losses","Win.Pct","Ace.Pct","Serving.Error.Pct"
"1","Adrian",86,939,518,3282,0.128,0.286106032906764,0.157830591102986,13,10,0.565,NA,NA
"2","Albertus Magnus",105,660,568,2820,0.033,0.234042553191489,0.201418439716312,6,25,0.194,NA,NA
"3","Albion",111,1382,468,3740,0.244,0.36951871657754,0.125133689839572,25,6,0.806,0.094,0.082
"4","Albright",79,758,368,2431,0.16,0.311805841217606,0.151378033730975,10,13,0.435,NA,NA
"5","Alfred",65,565,392,2115,0.082,0.267139479905437,0.185342789598109,5,13,0.278,NA,NA
"6","Alfred St.",100,1132,442,3312,0.208,0.341787439613527,0.133454106280193,21,7,0.75,NA,NA
"7","Allegheny",104,1149,531,3683,0.168,0.311973934292696,0.144175943524301,17,12,0.586,NA,NA
"8","Alma",91,879,531,3138,0.111,0.280114722753346,0.169216061185468,7,18,0.28,0.065,0.065
"9","Alvernia",84,888,434,2800,0.162,0.317142857142857,0.155,10,14,0.417,NA,NA
"10","Alverno",86,855,428,2890,0.148,0.295847750865052,0.148096885813149,5,20,0.2,0.082,0.101
"11","Amherst",78,942,409,2870,0.186,0.328222996515679,0.142508710801394,14,7,0.667,0.072,0.056
"12","Anderson (IN)",83,998,484,3179,0.162,0.313935199748349,0.152249134948097,11,12,0.478,NA,NA
"13","Anna Maria",80,537,407,2252,0.058,0.238454706927176,0.180728241563055,3,20,0.13,NA,NA
"14","Arcadia",102,1193,544,3734,0.174,0.319496518478843,0.145688269951794,19,9,0.679,NA,NA
"15","Augsburg",89,1108,420,3168,0.217,0.349747474747475,0.132575757575758,17,8,0.68,NA,NA
"16","Augustana (IL)",115,1257,605,4051,0.161,0.310293754628487,0.149345840533202,17,12,0.586,0.09,0.071
"17","Aurora",111,1417,560,3932,0.218,0.360376398779247,0.142421159715158,22,10,0.688,0.096,0.084
"18","Austin",115,1289,627,4195,0.158,0.307270560190703,0.149463647199046,16,17,0.485,0.056,0.095
"19","Averett",116,1407,616,4096,0.193,0.343505859375,0.150390625,20,11,0.645,NA,NA
"20","Babson",114,1363,632,3915,0.187,0.348148148148148,0.161430395913155,22,9,0.71,0.092,0.131
"21","Baldwin Wallace",86,1012,568,3127,0.142,0.323632874960026,0.181643748001279,13,11,0.542,0.075,0.068
"22","Bard",91,774,489,2672,0.107,0.289670658682635,0.183008982035928,8,18,0.308,0.096,0.192
"23","Baruch",103,959,666,3451,0.085,0.27789046653144,0.192987539843524,15,15,0.5,NA,NA
"24","Bates",78,694,471,2567,0.087,0.27035449941566,0.183482664589014,6,17,0.261,0.12,0.118
"25","Belhaven",98,840,580,2860,0.091,0.293706293706294,0.202797202797203,10,18,0.357,NA,NA
"26","Beloit",87,729,462,3100,0.086,0.235161290322581,0.149032258064516,7,17,0.292,0.065,0.089
"27","Benedictine (IL)",99,1012,488,3540,0.148,0.285875706214689,0.137853107344633,14,14,0.5,0.108,0.108
"28","Berea",114,1356,597,4237,0.179,0.320037762567855,0.140901581307529,21,9,0.7,0.039,0.117
"29","Berry",105,1397,437,3798,0.253,0.367825171142707,0.11506055818852,25,5,0.833,0.044,0.147
"30","Bethany (WV)",120,1363,735,4407,0.143,0.309280689811663,0.166780122532335,17,13,0.567,0.1,0.118
"31","Bethany Lutheran",91,822,548,2958,0.093,0.27789046653144,0.18526031102096,8,18,0.308,NA,NA
"32","Bethel (MN)",97,1248,483,3616,0.212,0.345132743362832,0.133573008849558,16,10,0.615,0.069,0.11
"33","Birmingham-So.",110,1352,599,3920,0.192,0.344897959183673,0.15280612244898,19,9,0.679,NA,NA
"34","Blackburn",95,881,571,3392,0.091,0.259728773584906,0.168337264150943,5,22,0.185,0,0.087
"35","Bluffton",104,1178,582,3607,0.165,0.326587191571943,0.161352924868312,16,11,0.593,NA,NA
"36","Bob Jones",129,1612,743,4742,0.183,0.33994095318431,0.156684943061999,27,12,0.692,NA,NA
"37","Bowdoin",81,925,409,2840,0.182,0.325704225352113,0.144014084507042,13,10,0.565,0.105,0.103
"38","Brandeis",93,1053,471,3167,0.184,0.332491316703505,0.148721187243448,13,15,0.464,0.089,0.086
"39","Brevard",101,1002,503,3535,0.141,0.283451202263083,0.142291371994342,6,21,0.222,NA,NA
