"","Team","S","Kills","Errors","Total.Attacks","Hitting.Pct.","X","Y","Wins","Losses","Win.Pct","Ace.Pct","Serving.Error.Pct"
"40","Bridgewater (VA)",103,1122,508,3364,0.183,0.333531510107015,0.151010701545779,17,12,0.586,NA,NA
"41","Bridgewater St.",68,660,385,2072,0.133,0.318532818532819,0.185810810810811,9,11,0.45,NA,NA
"42","Brooklyn",103,991,541,3154,0.143,0.314204185161699,0.171528218135701,17,14,0.548,NA,NA
"43","Bryn Athyn",58,247,245,1189,0.002,0.207737594617325,0.20605550883095,3,15,0.167,NA,NA
"44","Bryn Mawr",71,500,377,2019,0.061,0.247647350173353,0.186726102030708,6,15,0.286,0.079,0.109
"45","Buena Vista",98,1099,521,3501,0.165,0.313910311339617,0.148814624393031,13,12,0.52,NA,NA
"46","Buffalo St.",86,877,512,3080,0.119,0.28474025974026,0.166233766233766,12,12,0.5,NA,NA
"47","Cabrini",119,1356,580,4116,0.189,0.329446064139942,0.140913508260447,22,13,0.629,NA,NA
"48","Cairn",87,885,378,3012,0.168,0.293824701195219,0.125498007968127,18,6,0.75,0.089,0.044
"49","Cal Lutheran",99,1154,471,3242,0.211,0.355953115360888,0.145280690931524,16,10,0.615,NA,NA
"50","Caltech",73,769,412,2505,0.143,0.306986027944112,0.164471057884232,8,12,0.4,0.075,0.096
"51","Calvin",105,1426,430,3802,0.262,0.37506575486586,0.113098369279327,27,4,0.871,NA,NA
"52","Capital",93,993,600,3446,0.114,0.288160185722577,0.174114915844457,8,18,0.308,NA,NA
"53","Carleton",81,863,416,2684,0.167,0.321535022354694,0.154992548435171,5,17,0.227,0.085,0.043
"54","Carnegie Mellon",114,1376,584,4418,0.179,0.311453146220009,0.132186509732911,21,9,0.7,0.09,0.075
"55","Carroll (WI)",111,1192,616,3807,0.151,0.31310743367481,0.16180719726819,15,14,0.517,0.094,0.096
"56","Carthage",120,1411,567,4081,0.207,0.34574859103161,0.13893653516295,21,9,0.7,NA,NA
"57","Castleton",81,595,395,2427,0.082,0.245158632056036,0.162752369180058,5,20,0.2,NA,NA
"58","Catholic",111,1228,594,3551,0.179,0.34581807941425,0.16727682343002,15,16,0.484,NA,NA
"59","Cazenovia",103,792,579,3242,0.066,0.244293645897594,0.17859346082665,10,18,0.357,NA,NA
"60","CCNY",67,550,360,2069,0.092,0.265828902851619,0.173997100048333,10,10,0.5,NA,NA
"61","Cedar Crest",75,737,371,2361,0.155,0.312155866158407,0.15713680643795,13,9,0.591,NA,NA
"62","Centenary (LA)",124,1281,792,4467,0.109,0.286769644056414,0.177300201477502,10,24,0.294,NA,NA
"63","Centenary (NJ)",80,677,393,2408,0.118,0.281146179401993,0.163205980066445,10,14,0.417,0.059,0.129
"64","Central (IA)",89,984,493,3143,0.156,0.313076678332803,0.156856506522431,10,15,0.4,NA,NA
"65","Centre",107,1330,642,4021,0.171,0.330763491668739,0.159661775677692,19,8,0.704,0.069,0.069
"66","Chapman",86,1006,497,3171,0.161,0.317250078839483,0.15673289183223,9,15,0.375,NA,NA
"67","Chatham",99,1201,574,4350,0.144,0.276091954022989,0.131954022988506,14,12,0.538,NA,NA
"68","Chris. Newport",139,1706,789,5057,0.181,0.337354162546965,0.156021356535495,23,14,0.622,NA,NA
"69","Claremont-M-S",99,1457,404,3349,0.314,0.43505524037026,0.120633024783517,30,1,0.968,0.143,0.088
"70","Clark (MA)",98,979,471,3240,0.157,0.30216049382716,0.14537037037037,12,16,0.429,0.075,0.081
"71","Clarkson",94,1113,525,3290,0.179,0.338297872340426,0.159574468085106,16,11,0.593,0.102,0.029
"72","CMSV",66,541,453,2173,0.04,0.248964565117349,0.208467556373677,4,16,0.2,NA,NA
"73","Coast Guard",92,1019,495,3039,0.172,0.335307666995722,0.162882527147088,18,8,0.692,0.112,0.112
"74","Cobleskill St.",80,722,541,2676,0.068,0.269805680119581,0.202167414050822,5,18,0.217,NA,NA
"75","Coe",124,1542,586,4606,0.208,0.334780720798958,0.127225358228398,27,6,0.818,0.091,0.068
"76","Colby",84,989,492,2954,0.168,0.334800270819228,0.166553825321598,14,9,0.609,0.095,0.093
"77","Colby-Sawyer",98,943,532,3156,0.13,0.298795944233207,0.168567807351077,9,18,0.333,NA,NA
"78","Colorado Col.",110,1479,581,4202,0.214,0.351975249881009,0.138267491670633,21,9,0.7,0.082,0.088
"79","Concordia (TX)",89,1074,547,3516,0.15,0.305460750853242,0.155574516496018,12,11,0.522,NA,NA
"80","Concordia Chicago",90,891,544,3092,0.112,0.288163001293661,0.175937904269082,11,14,0.44,0.086,0.085
"81","Concordia Wisconsin",103,1331,522,3694,0.219,0.360314022739578,0.141310232809962,19,8,0.704,0.081,0.083
"82","Concordia-M'head",91,1038,509,3692,0.143,0.281148429035753,0.137865655471289,9,15,0.375,NA,NA
"83","Connecticut Col.",77,854,437,2711,0.154,0.315012910365179,0.16119513094799,7,14,0.333,0.063,0.067
"84","Cornell College",101,1298,486,3727,0.218,0.348269385564797,0.130399785350148,22,8,0.733,0.072,0.064
"85","Covenant",113,1320,576,4007,0.186,0.329423508859496,0.143748440229598,21,12,0.636,NA,NA
"86","Crown (MN)",87,557,452,2554,0.041,0.218089271730619,0.176977290524667,2,25,0.074,NA,NA
"87","Curry",89,618,494,2705,0.046,0.228465804066543,0.182624768946396,4,22,0.154,NA,NA
"88","CWRU",99,1238,492,3442,0.217,0.359674607786171,0.142940151074956,22,6,0.786,0.074,0.095
"89","Dallas",102,1101,610,3679,0.133,0.299266104919815,0.16580592552324,9,19,0.321,0.189,0.135
"90","Dean",98,672,509,2848,0.057,0.235955056179775,0.17872191011236,6,23,0.207,NA,NA
"91","Defiance",81,690,468,2690,0.083,0.256505576208178,0.173977695167286,4,19,0.174,NA,NA
"92","Delaware Valley",80,775,513,2854,0.092,0.271548703573931,0.179747722494744,12,10,0.545,NA,NA
"93","Denison",102,1154,541,3617,0.169,0.319048935581974,0.149571468067459,13,13,0.5,NA,NA
"94","DePauw",94,986,454,3214,0.166,0.306782825140012,0.141257000622278,9,16,0.36,0.062,0.098
"95","DeSales",110,1194,642,3682,0.15,0.324280282455187,0.174361759913091,18,14,0.562,0.178,0.082
"96","Dickinson",82,896,428,2699,0.173,0.331974805483512,0.158577250833642,13,11,0.542,NA,NA
"97","Dominican (IL)",89,933,464,3103,0.151,0.300676764421528,0.149532710280374,7,17,0.292,0.075,0.084
"98","Drew",103,1202,560,3908,0.164,0.307574206755374,0.143295803480041,17,12,0.586,NA,NA
"99","Dubuque",111,1284,520,4101,0.186,0.313094367227505,0.126798341867837,11,18,0.379,0.087,0.094
"100","Earlham",116,1281,658,4155,0.15,0.308303249097473,0.158363417569194,14,16,0.467,0.167,0.067
"101","East Tex. Baptist",101,1338,576,4001,0.19,0.334416395901025,0.143964008997751,20,7,0.741,0.176,0.054
"102","East. Mennonite",79,834,439,2513,0.157,0.331874253879825,0.174691603660963,8,14,0.364,NA,NA
"103","Eastern",105,1264,542,3560,0.203,0.355056179775281,0.152247191011236,24,6,0.8,NA,NA
"104","Eastern Conn. St.",86,1038,454,2903,0.201,0.357561143644506,0.15638994143989,15,10,0.6,0.075,0.075
"105","Eastern Nazarene",85,1005,390,2621,0.235,0.383441434566959,0.148798168637924,23,2,0.92,0.173,0.112
"106","Edgewood",105,1288,597,3808,0.181,0.338235294117647,0.156775210084034,20,10,0.667,0.092,0.081
"107","Elizabethtown",106,1249,485,3777,0.202,0.33068572941488,0.128408790045009,23,7,0.767,NA,NA
"108","Elmhurst",104,1222,606,3675,0.168,0.332517006802721,0.164897959183673,7,19,0.269,0.081,0.096
"109","Elmira",106,956,623,3252,0.102,0.293972939729397,0.191574415744157,8,20,0.286,0.053,0.201
"110","Elms",102,997,506,3560,0.138,0.280056179775281,0.142134831460674,12,17,0.414,0.089,0.162
"111","Emerson",79,960,375,2594,0.226,0.370084811102544,0.144564379336931,18,5,0.783,0.104,0.079
"112","Emmanuel (MA)",90,769,566,2828,0.072,0.271923620933522,0.2001414427157,7,18,0.28,0.103,0.154
"113","Emory",102,1405,562,3661,0.23,0.383774924883912,0.153509969953565,22,7,0.759,0.03,0.13
"114","Endicott",103,1236,470,3365,0.228,0.367310549777117,0.139673105497771,22,9,0.71,0.103,0.07
"115","Eureka",95,845,447,3357,0.119,0.251712838844206,0.133154602323503,8,19,0.296,0.063,0.114
"116","Farmingdale St.",77,827,395,2366,0.183,0.349535080304311,0.166948436179205,15,8,0.652,NA,NA
"117","FDU-Florham",85,806,466,3002,0.113,0.268487674883411,0.155229846768821,13,12,0.52,NA,NA
"118","Ferrum",105,1042,613,3320,0.129,0.313855421686747,0.184638554216867,9,19,0.321,NA,NA
"119","Finlandia",66,527,376,2083,0.072,0.253000480076812,0.180508881421027,1,19,0.05,NA,NA
"120","Fitchburg St.",71,526,442,2219,0.038,0.237043713384407,0.199188823794502,5,15,0.25,NA,NA
"121","Fontbonne",91,1056,506,3338,0.165,0.316357100059916,0.151587777112043,15,11,0.577,0.032,0.129
"122","Framingham St.",106,1001,508,3347,0.147,0.299073797430535,0.151777711383328,17,12,0.586,0.109,0.043
"123","Franciscan",82,917,541,3418,0.11,0.268285547103569,0.158279695728496,9,14,0.391,NA,NA
"124","Franklin",90,933,518,2974,0.14,0.313718897108272,0.174176193678547,8,16,0.333,NA,NA
"125","Franklin & Marshall",95,1147,494,3299,0.198,0.347681115489542,0.149742346165505,18,9,0.667,NA,NA
"126","Fredonia",86,804,528,2966,0.093,0.271072151045179,0.17801753202967,4,20,0.167,NA,NA
"127","Gallaudet",119,1293,547,3701,0.202,0.349365036476628,0.147797892461497,19,15,0.559,NA,NA
"128","Geneva",105,1092,559,4083,0.131,0.267450404114622,0.136909135439628,9,17,0.346,NA,NA
"129","George Fox",88,1018,424,3257,0.182,0.3125575683144,0.130181148295978,12,11,0.522,0.067,0.066
"130","Gettysburg",99,1166,471,3461,0.201,0.336896850621208,0.136087835885582,21,6,0.778,NA,NA
"131","Gordon",111,1247,517,3136,0.233,0.397640306122449,0.164859693877551,16,14,0.533,0.068,0.12
"132","Goucher",90,757,573,3028,0.061,0.25,0.189233817701453,4,23,0.148,NA,NA
"133","Greensboro",128,1551,730,4718,0.174,0.32874099194574,0.154726579058923,20,13,0.606,NA,NA
"134","Greenville",102,1240,547,3760,0.184,0.329787234042553,0.145478723404255,22,7,0.759,0.029,0.029
"135","Grinnell",106,1241,539,4020,0.175,0.308706467661692,0.13407960199005,17,11,0.607,0.095,0.053
"136","Grove City",111,1198,620,4371,0.132,0.274079158087394,0.141843971631206,18,11,0.621,NA,NA
"137","Guilford",88,884,447,2900,0.151,0.304827586206897,0.154137931034483,6,17,0.261,NA,NA
"138","Gust. Adolphus",108,1432,475,4117,0.232,0.347826086956522,0.115375273257226,26,5,0.839,NA,NA
"139","Gwynedd Mercy",100,942,517,3257,0.13,0.289223211544366,0.158735032238256,8,18,0.308,NA,NA
"140","Hamilton",68,772,370,2312,0.174,0.333910034602076,0.160034602076125,8,11,0.421,0.107,0.121
"141","Hamline",99,946,526,3503,0.12,0.270054239223523,0.150157008278618,6,22,0.214,0.108,0.115
"142","Hanover",102,1066,490,3698,0.156,0.288263926446728,0.13250405624662,13,14,0.481,0.056,0.077
"143","Hardin-Simmons",94,1218,483,3694,0.199,0.329723876556578,0.130752571737953,14,10,0.583,NA,NA
"144","Hartwick",91,1078,429,2990,0.217,0.360535117056856,0.143478260869565,20,5,0.8,NA,NA
"145","Haverford",87,995,454,3030,0.179,0.328382838283828,0.14983498349835,12,11,0.522,0.075,0.097
"146","Heidelberg",104,1116,539,3707,0.156,0.30105206366334,0.14540059347181,8,18,0.308,0.044,0.068
"147","Hendrix",79,986,470,3040,0.17,0.324342105263158,0.154605263157895,10,13,0.435,NA,NA
"148","Hilbert",88,669,526,2525,0.057,0.264950495049505,0.208316831683168,4,21,0.16,NA,NA
"149","Hiram",104,1100,490,4035,0.151,0.272614622057001,0.121437422552664,15,13,0.536,NA,NA
"150","Hollins",96,819,597,2815,0.079,0.290941385435169,0.212078152753108,8,21,0.276,NA,NA
"151","Hood",96,961,542,3167,0.132,0.303441742974424,0.17113988001263,8,18,0.308,NA,NA
"152","Hope",113,1545,532,4166,0.243,0.370859337493999,0.127700432069131,24,8,0.75,0.068,0.064
"153","Houghton",79,854,390,2601,0.178,0.328335255670896,0.149942329873126,10,14,0.417,NA,NA
"154","Howard Payne",84,769,500,3147,0.085,0.244359707658087,0.158881474420083,3,23,0.115,NA,NA
"155","Hunter",98,1076,495,3035,0.191,0.354530477759473,0.163097199341021,19,11,0.633,NA,NA
"156","Huntingdon",127,1593,562,4645,0.222,0.342949407965554,0.120990312163617,28,9,0.757,NA,NA
"157","Husson",89,828,441,2636,0.147,0.314112291350531,0.167298937784522,12,11,0.522,0.198,0.146
"158","IIT",94,988,517,3264,0.144,0.302696078431373,0.158394607843137,14,11,0.56,0.087,0.094
"159","Ill. Wesleyan",112,1378,659,4337,0.166,0.317731150564907,0.151948351394973,17,12,0.586,0.089,0.083
"160","Illinois Col.",106,1123,593,3747,0.141,0.299706431812116,0.158259941286362,12,18,0.4,0.069,0.069
"161","Immaculata",68,576,326,2148,0.116,0.268156424581006,0.151769087523277,6,14,0.3,NA,NA
"162","Ithaca",116,1398,566,3812,0.218,0.366736621196222,0.148478488982162,25,5,0.833,0.106,0.064
"163","John Carroll",104,1341,526,3881,0.21,0.345529502705488,0.135532079360989,21,8,0.724,NA,NA
"164","John Jay",97,935,567,3011,0.122,0.310528063766191,0.188309531717038,14,14,0.5,NA,NA
"165","Johns Hopkins",117,1456,591,3804,0.227,0.382754994742376,0.155362776025237,24,8,0.75,NA,NA
"166","Juniata",118,1651,534,4101,0.272,0.402584735430383,0.130212143379663,34,1,0.971,0.192,0.069
"167","JWU (Providence)",106,1266,630,3467,0.183,0.365157196423421,0.181713296798385,20,12,0.625,0.067,0.094
"168","Kalamazoo",82,719,487,2438,0.095,0.294913863822806,0.199753896636587,8,15,0.348,0.046,0.122
"169","Kean",120,1405,544,4019,0.214,0.349589450111968,0.135357053993531,21,13,0.618,0.043,0.043
"170","Keene St.",101,1089,508,3462,0.168,0.314558058925477,0.146735990756788,13,15,0.464,NA,NA
"171","Kenyon",96,911,489,3335,0.127,0.273163418290855,0.146626686656672,5,21,0.192,NA,NA
"172","Keuka",93,893,530,3190,0.114,0.279937304075235,0.166144200626959,9,16,0.36,NA,NA
"173","Keystone",93,788,435,2732,0.129,0.288433382137628,0.159224011713031,13,13,0.5,NA,NA
"174","King's (PA)",94,990,472,3154,0.164,0.313887127457197,0.149651236525048,18,10,0.643,NA,NA
"175","Knox",82,824,489,2752,0.122,0.299418604651163,0.177688953488372,6,17,0.261,0.072,0.097
"176","La Roche",92,875,476,3401,0.117,0.257277271390767,0.139958835636577,12,15,0.444,NA,NA
"177","La Verne",102,1279,567,3657,0.195,0.349740224227509,0.155045118949959,17,10,0.63,0.071,0.091
"178","LaGrange",90,614,565,2881,0.017,0.213120444290177,0.196112460951059,4,23,0.148,NA,NA
"179","Lake Forest",107,1199,631,3784,0.15,0.316860465116279,0.166754756871036,16,13,0.552,0.077,0.154
"180","Lakeland",112,1382,611,4117,0.187,0.335681321350498,0.148409035705611,16,14,0.533,0.081,0.103
"181","Lancaster Bible",108,1154,638,3757,0.137,0.307159968059622,0.169816342826723,18,12,0.6,NA,NA
"182","Lasell",118,1132,574,3384,0.165,0.33451536643026,0.169621749408983,20,14,0.588,0.082,0.104
"183","Lawrence",88,619,503,2754,0.042,0.22476397966594,0.182643427741467,1,26,0.037,0.062,0.121
"184","Lebanon Valley",94,1091,514,3228,0.179,0.337980173482032,0.159231722428748,16,9,0.64,NA,NA
"185","Lehman",71,436,427,1914,0.005,0.227795193312435,0.223092998955068,6,16,0.273,NA,NA
"186","LeTourneau",109,1240,521,4057,0.177,0.30564456494947,0.128420014789253,15,12,0.556,NA,NA
"187","Lewis & Clark",70,644,423,2497,0.089,0.257909491389668,0.169403283940729,2,19,0.095,0.066,0.119
"188","Linfield",90,937,493,3093,0.144,0.302942127384416,0.159392175881022,8,15,0.348,0.075,0.108
"189","Loras",96,1052,583,3639,0.129,0.289090409453146,0.160208848584776,8,19,0.296,0.087,0.072
"190","Luther",102,1054,501,3588,0.154,0.293756967670011,0.139632107023411,8,20,0.286,0.098,0.078
"191","Lycoming",85,770,475,2645,0.112,0.291115311909263,0.179584120982987,11,13,0.458,NA,NA
"192","Lynchburg",95,1107,499,3483,0.175,0.317829457364341,0.143267298306058,15,12,0.556,NA,NA
"193","Macalester",103,1099,498,3737,0.161,0.294086165373294,0.133261974846133,14,13,0.519,NA,NA
"194","Maine Maritime",88,1011,395,2644,0.233,0.382375189107413,0.149394856278366,21,4,0.84,NA,NA
"195","Manchester",109,1092,605,3677,0.132,0.296981234702203,0.164536306771825,14,15,0.483,0.041,0.074
"196","Manhattanville",101,1269,498,3567,0.216,0.355761143818335,0.139613120269134,24,7,0.774,0.061,0.085
"197","Maranatha Baptist",99,1120,464,3257,0.201,0.343874731347866,0.142462388701259,22,5,0.815,NA,NA
"198","Marian (WI)",111,1074,626,3686,0.122,0.291372761801411,0.169831795984807,8,23,0.258,0.097,0.098
"199","Marietta",99,1284,478,3575,0.225,0.359160839160839,0.133706293706294,19,9,0.679,NA,NA
"200","Martin Luther",94,926,571,3141,0.113,0.294810569882203,0.181789239095829,10,16,0.385,NA,NA
"201","Mary Baldwin",116,1101,716,3568,0.108,0.308576233183857,0.20067264573991,2,30,0.062,NA,NA
"202","Mary Hardin-Baylor",96,1171,396,3920,0.198,0.298724489795918,0.101020408163265,17,8,0.68,0.054,0.021
"203","Mary Washington",124,1571,523,4552,0.23,0.3451230228471,0.114894551845343,26,8,0.765,NA,NA
"204","Marymount (VA)",125,1434,602,4008,0.208,0.357784431137725,0.150199600798403,19,15,0.559,NA,NA
"205","Maryville (TN)",107,1292,556,3613,0.204,0.357597564350955,0.153888735123166,22,9,0.71,0.13,0.104
"206","Marywood",111,1068,646,3432,0.123,0.311188811188811,0.188228438228438,14,17,0.452,NA,NA
"207","Mass. Maritime",62,439,329,1902,0.058,0.23080967402734,0.172975814931651,3,17,0.15,NA,NA
"208","McDaniel",76,649,466,2387,0.077,0.271889400921659,0.195224130708002,2,20,0.091,NA,NA
"209","MCLA",88,897,496,3082,0.13,0.291044776119403,0.160934458144062,16,8,0.667,NA,NA
"210","McMurry",92,1096,455,3647,0.176,0.300520976144777,0.124760076775432,12,12,0.5,NA,NA
"211","Me.-Presque Isle",69,442,358,2016,0.042,0.219246031746032,0.177579365079365,3,20,0.13,0.076,0.128
"212","Medaille",106,910,548,3493,0.104,0.260521042084168,0.156885198969367,6,23,0.207,NA,NA
"213","Merchant Marine",79,911,430,2612,0.184,0.348774885145482,0.164624808575804,15,7,0.682,NA,NA
"214","Meredith",119,1453,512,3895,0.242,0.373042362002567,0.131450577663671,20,12,0.625,NA,NA
"215","Messiah",104,1259,566,3657,0.189,0.344271260596117,0.154771670768389,19,10,0.655,NA,NA
"216","Methodist",112,1197,528,3958,0.169,0.302425467407782,0.133400707427994,12,18,0.4,NA,NA
"217","Middlebury",83,955,426,3017,0.175,0.316539608882996,0.141199867417965,14,10,0.583,0.093,0.082
"218","Millikin",124,1629,654,4789,0.204,0.34015452077678,0.136562956775945,23,11,0.676,0.083,0.112
"219","Millsaps",87,921,577,3326,0.103,0.276909200240529,0.173481659651233,7,16,0.304,NA,NA
"220","Minn.-Morris",88,1002,432,3082,0.185,0.325113562621674,0.140168721609345,13,13,0.5,NA,NA
"221","Misericordia",116,1342,609,3685,0.199,0.364179104477612,0.165264586160109,22,10,0.688,NA,NA
"222","MIT",109,1401,492,3659,0.248,0.382891500409948,0.13446296802405,27,6,0.818,0.101,0.091
"223","Mitchell",81,768,378,2775,0.141,0.276756756756757,0.136216216216216,12,12,0.5,0.088,0.132
"224","Monmouth (IL)",94,1015,502,3639,0.141,0.278922780983787,0.137949986259962,11,15,0.423,0.043,0.043
"225","Montclair St.",107,1208,547,3730,0.177,0.323860589812332,0.146648793565684,17,13,0.567,0.206,0.072
"226","Moravian",108,1048,529,3809,0.136,0.275137831451825,0.13888159621948,12,18,0.4,NA,NA
"227","Mount Aloysius",104,1077,558,3482,0.149,0.309304997128087,0.160252728317059,11,17,0.393,NA,NA
"228","Mount Holyoke",86,764,427,2625,0.128,0.291047619047619,0.162666666666667,13,12,0.52,0.102,0.115
"229","Mount Mary",112,1029,628,3761,0.107,0.27359744748737,0.166976867854294,8,23,0.258,0.076,0.082
"230","Mount Union",100,1283,478,3862,0.208,0.332211289487312,0.123770067322631,19,8,0.704,NA,NA
"231","MSOE",88,887,551,3062,0.11,0.289679947746571,0.179947746570869,4,21,0.16,NA,NA
"232","Mt. St. Joseph",106,1302,531,3745,0.206,0.347663551401869,0.141789052069426,22,7,0.759,0.118,0.065
"233","Mt. St. Mary (NY)",89,776,432,2715,0.127,0.285819521178637,0.159116022099448,11,15,0.423,NA,NA
"234","Muhlenberg",92,1025,579,3425,0.13,0.299270072992701,0.169051094890511,13,13,0.5,NA,NA
"235","Muskingum",92,1160,419,3505,0.211,0.33095577746077,0.119543509272468,18,8,0.692,0.097,0.098
"236","MUW",75,653,409,2605,0.094,0.250671785028791,0.15700575815739,8,15,0.348,NA,NA
"237","N.C. Wesleyan",104,1111,642,3668,0.128,0.30288985823337,0.175027262813522,9,20,0.31,NA,NA
"238","Nazareth",110,1096,607,3491,0.14,0.313950157547981,0.173875680320825,10,19,0.345,0.1,0.04
"239","Neb. Wesleyan",109,1202,506,4070,0.171,0.295331695331695,0.124324324324324,19,11,0.633,NA,NA
"240","Neumann",109,1177,667,3898,0.131,0.301949717804002,0.171113391482812,12,19,0.387,0.061,0.061
"241","New England Col.",108,1081,566,3492,0.147,0.309564719358534,0.162084765177549,11,18,0.379,NA,NA
"242","New Jersey City",102,1051,547,3117,0.162,0.337183188963747,0.175489252486365,17,12,0.586,0.128,0.098
"243","Nichols",90,937,481,2838,0.161,0.330162085976039,0.169485553206483,15,11,0.577,NA,NA
"244","North Central (IL)",95,1142,517,3395,0.184,0.336377025036819,0.152282768777614,14,11,0.56,NA,NA
"245","North Central (MN)",98,988,550,3296,0.133,0.299757281553398,0.166868932038835,16,12,0.571,0.107,0.131
"246","North Park",116,1532,685,4509,0.188,0.339764914615214,0.15191838545132,23,9,0.719,NA,NA
"247","Northland",90,963,590,3394,0.11,0.283736004714202,0.173836181496759,11,13,0.458,0.045,0.105
"248","Northwestern-St. Paul",129,1768,545,4577,0.267,0.386279222197946,0.119073629014638,34,3,0.919,NA,NA
"249","Norwich",81,857,399,2520,0.182,0.340079365079365,0.158333333333333,15,9,0.625,NA,NA
"250","Notre Dame (MD)",84,823,493,3022,0.109,0.272336201191264,0.163136995367306,17,8,0.68,NA,NA
"251","NVU-Johnson",75,696,292,2083,0.194,0.334133461353817,0.14018242918867,10,11,0.476,0.067,0.116
"252","NYU",136,1759,612,4838,0.237,0.363579991732121,0.126498553121124,29,7,0.806,NA,NA
"253","Oberlin",84,882,476,2685,0.151,0.328491620111732,0.177281191806331,7,16,0.304,NA,NA
"254","Occidental",79,870,489,2690,0.142,0.323420074349442,0.1817843866171,6,17,0.261,0.098,0.082
"255","Oglethorpe",98,1211,611,3811,0.157,0.317764366308056,0.160325373917607,14,13,0.519,NA,NA
"256","Ohio Northern",100,1332,529,3798,0.211,0.350710900473934,0.13928383359663,16,10,0.615,NA,NA
