"","Team","S","Kills","Errors","Total.Attacks","Hitting.Pct.","X","Y","Wins","Losses","Win.Pct","Ace.Pct","Serving.Error.Pct"
"299","UNLV",112,1549,557,3837,0.259,0.403700807922856,0.145165493875424,26,5,0.839,0.057,0.084
"300","USC Upstate",102,1118,564,3599,0.154,0.310641844956932,0.156710197277021,6,23,0.207,0.054,0.082
"301","UT Arlington",109,1338,531,3726,0.217,0.359098228663446,0.142512077294686,17,10,0.63,0.061,0.066
"302","UT Martin",132,1685,683,4793,0.209,0.351554350093887,0.142499478406009,23,12,0.657,0.063,0.073
"303","Utah",114,1502,605,3908,0.23,0.384339815762538,0.154810644831116,15,16,0.484,0.06,0.079
"304","Utah St.",125,1669,696,4235,0.23,0.39409681227863,0.164344746162928,22,11,0.667,0.073,0.097
"305","Utah Valley",107,1383,595,3506,0.225,0.394466628636623,0.169709070165431,18,11,0.621,0.072,0.095
"306","UTEP",121,1481,618,3815,0.226,0.388204456094364,0.161992136304063,17,13,0.567,0.088,0.136
"307","UTRGV",128,1733,636,4609,0.238,0.376003471468865,0.137990887394229,27,7,0.794,0.056,0.069
"308","UTSA",100,1178,533,3415,0.189,0.344948755490483,0.156076134699854,8,18,0.308,0.058,0.1
"309","Valparaiso",129,1687,683,4862,0.206,0.346976552858906,0.140477169888935,22,11,0.667,0.052,0.067
"310","VCU",127,1521,734,4667,0.169,0.325905292479109,0.157274480394258,14,17,0.452,0.059,0.074
"311","Villanova",117,1378,594,3922,0.2,0.351351351351351,0.151453340132585,10,20,0.333,0.067,0.086
"312","Virginia",115,1380,664,3601,0.199,0.383226881421827,0.184393224104415,12,17,0.414,0.063,0.11
"313","Virginia Tech",107,1266,580,3556,0.193,0.356017997750281,0.16310461192351,11,18,0.379,0.061,0.093
"314","Wake Forest",115,1463,592,3899,0.223,0.375224416517056,0.151833803539369,17,14,0.548,0.066,0.077
"315","Washington",116,1593,513,3804,0.284,0.418769716088328,0.134858044164038,20,11,0.645,0.073,0.111
"316","Washington St.",119,1597,536,3789,0.28,0.421483240960676,0.141462127210346,23,10,0.697,0.07,0.085
"317","Weber St.",111,1362,522,4089,0.205,0.333088774761555,0.127659574468085,17,12,0.586,0.067,0.089
"318","West Virginia",106,1176,722,3573,0.127,0.329135180520571,0.202071088720963,7,22,0.241,0.063,0.121
"319","Western Caro.",122,1550,586,4354,0.221,0.355994487827285,0.134588883785025,20,13,0.606,0.07,0.068
"320","Western Ill.",104,1077,597,3911,0.123,0.275377141396062,0.152646381999489,4,26,0.133,0.056,0.081
