"","Team","S","Kills","Errors","Total.Attacks","Hitting.Pct.","X","Y","Wins","Losses","Win.Pct","Ace.Pct","Serving.Error.Pct"
"64","Colo. Christian",97,1193,464,3194,0.228,0.373512836568566,0.145272385723231,15,13,0.536,0.059,0.107
"65","Colo. Sch. of Mines",109,1609,568,3945,0.264,0.407858048162231,0.143979721166033,22,8,0.733,0.057,0.081
"66","Colorado Mesa",103,1467,557,3558,0.256,0.412310286677909,0.15654862282181,22,7,0.759,0.066,0.059
"67","Concord",110,1132,594,3673,0.146,0.308194936019603,0.161720664307106,7,25,0.219,0.072,0.087
"68","Concordia-St. Paul",136,1995,597,4563,0.306,0.437212360289283,0.130834976988823,31,6,0.838,0.074,0.096
"69","Converse",107,1086,575,3657,0.14,0.296964725184578,0.157232704402516,9,19,0.321,0.058,0.096
"70","CSU Pueblo",99,1254,406,3417,0.248,0.366988586479368,0.118817676324261,19,9,0.679,0.077,0.07
"71","Daemen",90,1210,450,3357,0.226,0.360440869824248,0.134048257372654,20,6,0.769,0.162,0.162
"72","Davenport",117,1460,582,4248,0.207,0.343691148775895,0.137005649717514,22,9,0.71,0.08,0.071
"73","Davis & Elkins",103,1320,599,3750,0.192,0.352,0.159733333333333,15,14,0.517,0.085,0.076
"74","DBU",114,1558,578,3708,0.264,0.42017259978425,0.155879180151025,25,7,0.781,0.085,0.096
"75","Dominican (CA)",92,769,604,2868,0.058,0.26813110181311,0.210599721059972,1,27,0.036,0.065,0.103
"76","Dominican (NY)",106,1176,622,3594,0.154,0.327212020033389,0.173066221480245,11,17,0.393,NA,NA
"77","Drury",110,1417,621,3955,0.201,0.358280657395702,0.157016434892541,13,17,0.433,0.069,0.089
"78","East Central",121,1448,730,4492,0.16,0.322350845948353,0.162511130899377,15,17,0.469,0.061,0.041
"79","East Stroudsburg",107,1203,513,3685,0.187,0.326458616010855,0.13921302578019,15,14,0.517,NA,NA
"80","Eastern N.M.",109,1319,632,3947,0.174,0.334177856599949,0.160121611350393,15,13,0.536,0.065,0.061
"81","Eckerd",107,1457,541,3849,0.238,0.378539880488439,0.140555988568459,24,7,0.774,0.088,0.076
"82","Edinboro",106,1305,503,3775,0.212,0.345695364238411,0.133245033112583,19,10,0.655,0.051,0.067
"83","Elizabeth City St.",123,1417,663,4074,0.185,0.347815414825724,0.162739322533137,26,9,0.743,0.063,0.089
"84","Embry-Riddle (FL)",112,1381,580,4070,0.197,0.339312039312039,0.142506142506143,17,14,0.548,0.09,0.096
"85","Emmanuel (GA)",108,1349,488,3686,0.234,0.365979381443299,0.132392837764514,24,8,0.75,0.084,0.095
"86","Emporia St.",106,1182,651,3995,0.133,0.295869837296621,0.162953692115144,4,25,0.138,0.078,0.077
"87","Erskine",108,1095,610,3709,0.131,0.295227824211378,0.164464815314101,9,20,0.31,0.083,0.079
"88","Fairmont St.",122,1619,622,4537,0.22,0.356843729336566,0.137094996693851,29,6,0.829,NA,NA
"89","Fayetteville St.",91,1025,543,2942,0.164,0.348402447314752,0.184568320870156,16,10,0.615,0.029,0.078
"90","Felician",93,842,527,2979,0.106,0.282645182947298,0.176905001678416,4,25,0.138,NA,NA
"91","Ferris St.",138,1804,634,5064,0.231,0.356240126382306,0.12519747235387,26,10,0.722,0.084,0.101
"92","Findlay",116,1531,597,4044,0.231,0.378585558852621,0.147626112759644,18,14,0.562,0.075,0.12
"93","Fla. Southern",109,1249,511,3960,0.186,0.31540404040404,0.129040404040404,15,15,0.5,0.097,0.069
"94","Flagler",116,1412,693,3930,0.183,0.359287531806616,0.176335877862595,20,10,0.667,0.079,0.099
"95","Florida Tech",113,1299,552,4043,0.185,0.321296067276775,0.136532278011378,13,17,0.433,0.074,0.084
"96","Fort Hays St.",108,1302,657,4150,0.155,0.313734939759036,0.158313253012048,11,17,0.393,0.066,0.056
"97","Fort Lewis",93,996,518,3268,0.146,0.304773561811506,0.158506731946144,10,15,0.4,0.079,0.068
"98","Fort Valley St.",97,855,595,3099,0.084,0.275895450145208,0.191997418522104,6,21,0.222,0.03,0.121
"99","Francis Marion",106,1299,599,3709,0.189,0.350229172283634,0.16149905634942,16,12,0.571,0.077,0.075
"100","Franklin Pierce",82,906,415,2851,0.172,0.317783233952999,0.145562960364784,10,13,0.435,0.12,0.076
"101","Fresno Pacific",87,1044,456,2968,0.198,0.351752021563342,0.153638814016173,16,9,0.64,0.066,0.055
"102","Frostburg St.",107,1220,513,3994,0.177,0.305458187280921,0.128442663995994,16,16,0.5,0.086,0.093
"103","Gannon",125,1617,501,4658,0.24,0.347144697294976,0.107556891369687,29,6,0.829,0.087,0.09
"104","Georgia College",109,1175,621,3993,0.139,0.294264963686451,0.155522163786627,11,19,0.367,0.067,0.049
"105","Georgian Court",102,1099,593,3336,0.152,0.329436450839329,0.177757793764988,11,18,0.379,NA,NA
"106","Glenville St.",126,1387,725,4286,0.154,0.323611759216052,0.169155389640691,16,17,0.485,0.094,0.167
"107","Goldey-Beacom",96,807,592,2796,0.077,0.28862660944206,0.21173104434907,2,28,0.067,0.14,0.08
"108","Grand Valley St.",120,1667,681,4549,0.217,0.366454165750714,0.149703231479446,19,13,0.594,0.056,0.058
"109","Harding",109,1533,559,4393,0.222,0.348964261324835,0.127247894377419,30,2,0.938,0.095,0.081
"110","Hawaii Hilo",96,1085,618,3540,0.132,0.306497175141243,0.174576271186441,4,22,0.154,0.074,0.102
"111","Hawaii Pacific",87,862,489,2851,0.131,0.302350052613118,0.171518765345493,3,23,0.115,0.08,0.078
"112","Henderson St.",102,1045,566,3867,0.124,0.270235324540988,0.146366692526506,10,18,0.357,0.044,0.057
"113","Hillsdale",134,1729,599,5108,0.221,0.338488645262334,0.1172670321065,28,7,0.8,0.064,0.064
"114","Holy Family",104,1153,524,3432,0.183,0.335955710955711,0.152680652680653,17,14,0.548,0.108,0.067
"115","Holy Names",106,1298,616,4153,0.164,0.312545148085721,0.148326510955935,14,15,0.483,0.063,0.08
"116","Ill. Springfield",86,1093,494,3320,0.18,0.329216867469879,0.148795180722892,12,13,0.48,0.078,0.07
"117","Indiana (PA)",102,1301,484,3258,0.251,0.399324739103745,0.148557397176182,20,9,0.69,0.071,0.167
"118","Jefferson",116,1441,574,3927,0.221,0.366946778711485,0.146167557932264,24,7,0.774,NA,NA
"119","Johnson C. Smith",77,692,442,2345,0.107,0.295095948827292,0.188486140724947,7,14,0.333,NA,NA
"120","Kentucky St.",129,1273,823,4178,0.108,0.304691239827669,0.196984202967927,14,24,0.368,0.042,0.052
"121","King (TN)",114,1231,587,4053,0.159,0.303725635331853,0.144830989390575,15,16,0.484,0.076,0.084
"122","Kutztown",97,1189,585,3565,0.169,0.333520336605891,0.164095371669004,13,12,0.52,NA,NA
"123","Ky. Wesleyan",102,1112,631,3600,0.134,0.308888888888889,0.175277777777778,6,22,0.214,0.078,0.096
"124","Lake Erie",102,1006,599,3353,0.121,0.300029824038175,0.178645988666865,3,25,0.107,0.08,0.127
"125","Lake Superior St.",106,1255,668,3891,0.151,0.322539193009509,0.171678231817014,5,25,0.167,0.066,0.097
"126","Lander",118,1502,645,4447,0.193,0.337755790420508,0.145041601079379,21,10,0.677,0.087,0.1
"127","Lane",139,1541,757,4277,0.183,0.360299275192892,0.176993219546411,26,15,0.634,0,0.14
"128","Le Moyne",86,836,391,2762,0.161,0.302679217958001,0.141564083997104,7,16,0.304,NA,NA
"129","Lee",114,1176,675,3778,0.133,0.311275807305453,0.178665960825834,8,24,0.25,0.064,0.106
"130","Lees-McRae",106,1125,664,3628,0.127,0.310088202866593,0.183020948180816,7,23,0.233,0.071,0.098
"131","LeMoyne-Owen",112,952,721,3863,0.06,0.246440590214859,0.186642505824489,7,27,0.206,0.05,0.137
"132","Lenoir-Rhyne",95,1242,506,3469,0.212,0.358028250216201,0.145863361199193,18,9,0.667,0.102,0.112
"133","Lewis",112,1603,599,4459,0.225,0.359497645211931,0.1343350527024,22,9,0.71,0.055,0.095
"134","Limestone",86,1048,531,3456,0.15,0.303240740740741,0.153645833333333,10,12,0.455,0.052,0.047
"135","Lincoln (PA)",74,672,435,2054,0.115,0.327166504381694,0.211781888997079,5,19,0.208,NA,NA
"136","Lincoln Memorial",104,1072,590,3509,0.137,0.305500142490738,0.168139070960388,8,21,0.276,0.056,0.069
"137","Livingstone",66,461,387,1886,0.039,0.244432661717922,0.205196182396607,1,19,0.05,NA,NA
"138","Lock Haven",90,810,597,2955,0.072,0.274111675126904,0.202030456852792,1,24,0.04,0.098,0.073
"139","Lubbock Christian",100,1191,517,3601,0.187,0.33074146070536,0.14357123021383,11,16,0.407,0.056,0.051
"140","Lynn",106,1499,583,3723,0.246,0.402632285791029,0.156594144507118,24,6,0.8,0.066,0.115
"141","Malone",111,1214,577,4124,0.154,0.294374393792435,0.139912706110572,11,19,0.367,0.067,0.058
"142","Mars Hill",99,1226,475,3854,0.195,0.31811105345096,0.123248572911261,18,9,0.667,0.037,0.048
"143","Mary",96,940,496,3533,0.126,0.266062836116615,0.140390602887065,6,22,0.214,0.062,0.093
"144","Maryville (MO)",102,1385,626,3998,0.19,0.346423211605803,0.156578289144572,17,12,0.586,NA,NA
"145","McKendree",95,1159,559,3529,0.17,0.328421649192406,0.158401813544914,9,16,0.36,0.07,0.082
"146","Mercy",74,914,417,2482,0.2,0.368251410153102,0.168009669621273,13,7,0.65,NA,NA
"147","Mercyhurst",89,846,542,3174,0.096,0.266540642722117,0.170762444864524,3,22,0.12,0.086,0.066
"148","Michigan Tech",104,1322,568,3963,0.19,0.333585667423669,0.143325763310623,20,10,0.667,0.063,0.059
"149","Midwestern St.",105,1298,682,4112,0.15,0.315661478599222,0.165856031128405,7,22,0.241,0.053,0.07
"150","Miles",107,1053,437,3427,0.18,0.307265830172162,0.12751677852349,17,13,0.567,NA,NA
"151","Millersville",98,1134,539,3730,0.16,0.30402144772118,0.144504021447721,16,13,0.552,NA,NA
"152","Minn. Duluth",115,1647,631,3986,0.255,0.413196186653287,0.158304064224787,27,5,0.844,0.08,0.08
"153","Minn.-Crookston",103,1025,587,3564,0.123,0.287598204264871,0.164702581369248,5,23,0.179,0.062,0.087
"154","Minnesota St.",102,1206,604,3753,0.16,0.321342925659472,0.1609379163336,6,22,0.214,0.044,0.056
"155","Minot St.",90,811,545,2792,0.095,0.290472779369628,0.195200573065903,1,26,0.037,0.069,0.118
"156","Mississippi Col.",110,1344,570,3545,0.218,0.379125528913963,0.160789844851904,23,7,0.767,0.088,0.113
"157","Missouri S&T",94,1175,442,3315,0.221,0.354449472096531,0.133333333333333,16,9,0.64,0.052,0.062
"158","Missouri Western",108,1262,593,4231,0.158,0.298274639565115,0.140155991491373,11,18,0.379,0.067,0.08
"159","Mo. Southern St.",121,1468,680,4666,0.169,0.314616373767681,0.145735105015002,13,17,0.433,0.062,0.074
"160","Mo.-St. Louis",117,1676,494,4470,0.264,0.374944071588367,0.110514541387025,25,7,0.781,0.086,0.059
"161","Molloy",95,1092,527,3370,0.168,0.324035608308605,0.156379821958457,16,12,0.571,NA,NA
"162","Mont. St. Billings",95,996,530,3339,0.14,0.298292902066487,0.158730158730159,7,20,0.259,0.071,0.08
"163","Montevallo",123,1512,663,4275,0.199,0.353684210526316,0.155087719298246,19,14,0.576,0.067,0.074
"164","Mount Olive",119,1462,579,4114,0.215,0.355371900826446,0.140738940204181,23,9,0.719,0.114,0.136
"165","MSU Denver",110,1569,459,3813,0.291,0.411487018095987,0.120377655389457,30,2,0.938,0.067,0.103
"166","MSU Moorhead",99,1018,455,3475,0.162,0.29294964028777,0.130935251798561,8,20,0.286,0.062,0.064
"167","N.M. Highlands",97,1102,544,3555,0.157,0.309985935302391,0.153023909985935,7,19,0.269,0.056,0.111
"168","Neb.-Kearney",124,1736,571,4613,0.253,0.376327769347496,0.123780619986993,28,6,0.824,0.062,0.045
"169","New Haven",103,1229,515,3757,0.19,0.327122704285334,0.137077455416556,16,12,0.571,0.173,0.12
"170","Newberry",102,1182,523,3553,0.185,0.332676611314382,0.14719954967633,14,15,0.483,0.055,0.109
"171","Newman",114,1374,612,4601,0.166,0.298630732449468,0.133014562051728,8,22,0.267,0.044,0.056
"172","North Greenville",118,1487,676,4189,0.194,0.354977321556457,0.161375029840057,21,11,0.656,0.06,0.057
"173","Northern Mich.",120,1543,617,4438,0.209,0.347679134745381,0.139026588553402,23,9,0.719,0.08,0.069
"174","Northern St.",94,1247,443,3200,0.251,0.3896875,0.1384375,18,11,0.621,0.057,0.046
"175","Northwest Mo. St.",110,1549,472,4379,0.246,0.353733729161909,0.107787166019639,24,7,0.774,0.067,0.064
"176","Northwest Nazarene",95,1219,441,3418,0.228,0.356641310708016,0.129022820362785,16,10,0.615,0.088,0.086
"177","Northwestern Okla.",113,1302,546,4328,0.175,0.30083179297597,0.126155268022181,18,15,0.545,0.073,0.095
"178","Northwood",117,1446,701,3981,0.187,0.363225320271289,0.176086410449636,16,16,0.5,0.08,0.093
"179","Notre Dame (OH)",120,1351,619,4470,0.164,0.302237136465324,0.138478747203579,14,19,0.424,0.064,0.1
"180","Nova Southeastern",117,1513,651,4000,0.216,0.37825,0.16275,19,12,0.613,0.047,0.077
"181","Ohio Dominican",106,1250,680,3728,0.153,0.335300429184549,0.182403433476395,12,18,0.4,0.082,0.085
"182","Okla. Baptist",107,1433,533,4139,0.217,0.346218893452525,0.128775066441169,19,11,0.633,0.046,0.067
"183","Okla. Christian",110,1259,575,4024,0.17,0.312872763419483,0.142892644135189,15,14,0.517,0.061,0.065
"184","Ouachita Baptist",110,1378,556,4118,0.2,0.334628460417678,0.135016998542982,19,12,0.613,0.056,0.058
"185","P.R.-Bayamon",4,1,0,10,0.1,0.1,0,0,1,0,NA,NA
"186","Pace",92,1062,604,3226,0.142,0.329200247985121,0.187228766274024,5,19,0.208,NA,NA
"187","Palm Beach Atl.",106,1248,577,3529,0.19,0.353641258146784,0.163502408614338,12,16,0.429,0.072,0.128
"188","Pitt.-Johnstown",113,1147,595,3819,0.145,0.300340403246923,0.15579994763027,10,20,0.333,0.088,0.085
"189","Pittsburg St.",112,1451,609,4334,0.194,0.334794646977388,0.140516843562529,17,14,0.548,0.06,0.073
"190","Point Loma",104,1391,530,3706,0.232,0.375337290879655,0.143011332973556,20,8,0.714,0.079,0.075
"191","Post",108,1106,567,3623,0.149,0.305271874137455,0.156500138007176,10,20,0.333,NA,NA
"192","Purdue Northwest",102,1082,532,3512,0.157,0.308086560364465,0.151480637813212,9,20,0.31,0.08,0.072
"193","Queens (NY)",95,1019,573,3377,0.132,0.301747112822031,0.16967722830915,12,13,0.48,NA,NA
"194","Quincy",107,1475,468,3894,0.259,0.378787878787879,0.120184899845917,28,3,0.903,0.053,0.037
"195","Regis (CO)",111,1517,567,3819,0.249,0.397224404294318,0.148468185388845,22,8,0.733,0.069,0.11
"196","Roberts Wesleyan",84,771,478,2794,0.105,0.275948460987831,0.171080887616321,4,19,0.174,0.139,0.083
"197","Rockhurst",103,1398,557,4031,0.209,0.346812205408087,0.138179111882907,20,8,0.714,0.065,0.063
"198","Rollins",117,1296,699,3866,0.154,0.335230212105535,0.18080703569581,7,24,0.226,0.07,0.115
"199","Saginaw Valley",105,1212,553,3845,0.171,0.315214564369311,0.143823146944083,10,20,0.333,0.069,0.101
"200","Saint Augustine's",68,644,304,1982,0.172,0.324924318869828,0.153380423814329,9,10,0.474,NA,NA
"201","Saint Leo",110,1337,624,3779,0.189,0.353797300873247,0.165123048425509,12,19,0.387,0.071,0.071
"202","Saint Martin's",102,1197,566,3551,0.178,0.337088144184737,0.159391720642073,13,15,0.464,0.08,0.105
"203","Saint Michael's",74,700,444,2381,0.108,0.293994120117598,0.186476270474591,1,20,0.048,0.012,0.035
"204","Saint Rose",102,1150,527,3284,0.19,0.350182704019488,0.16047503045067,13,15,0.464,NA,NA
"205","Salem (WV)",98,537,510,2704,0.01,0.198594674556213,0.188609467455621,0,32,0,0.044,0.11
"206","San Fran. St.",92,1232,502,3445,0.212,0.357619738751814,0.145718432510885,14,11,0.56,0.076,0.126
"207","Savannah St.",81,868,442,2737,0.156,0.317135549872123,0.161490683229814,12,12,0.5,NA,NA
"208","Seattle Pacific",100,1137,512,3369,0.186,0.337488869100623,0.151973879489463,13,13,0.5,0.083,0.092
"209","Seton Hill",108,1217,563,3517,0.186,0.34603355132215,0.160079613306796,17,12,0.586,0.06,0.053
"210","Shaw",105,1300,485,3407,0.239,0.38156736131494,0.142353977105958,23,8,0.742,0.098,0.142
"211","Shepherd",100,1103,508,3116,0.191,0.35397946084724,0.163029525032092,21,7,0.75,0.097,0.14
"212","Shippensburg",120,1393,690,4268,0.165,0.326382380506092,0.161668228678538,18,12,0.6,0.097,0.081
"213","Shorter",119,1323,660,4016,0.165,0.329432270916335,0.164342629482072,15,18,0.455,0.076,0.086
"214","Simon Fraser",112,1314,575,3726,0.198,0.352657004830918,0.154320987654321,13,14,0.481,0.077,0.084
"215","Sioux Falls",101,1338,525,3430,0.237,0.390087463556851,0.153061224489796,18,10,0.643,0.079,0.068
"216","Slippery Rock",110,1213,548,4000,0.166,0.30325,0.137,14,16,0.467,NA,NA
"217","Sonoma St.",109,1410,571,3680,0.228,0.383152173913043,0.155163043478261,21,9,0.7,0.093,0.124
"218","South Dakota Mines",101,1242,536,3622,0.195,0.342904472667035,0.147984538928769,11,16,0.407,0.059,0.08
"219","Southeastern Okla.",101,1142,628,3744,0.137,0.305021367521368,0.167735042735043,4,25,0.138,0.055,0.079
"220","Southern Ark.",95,1074,554,3460,0.15,0.310404624277457,0.160115606936416,6,21,0.222,0.064,0.066
"221","Southern Conn. St.",116,1299,617,4295,0.159,0.30244470314319,0.143655413271246,17,15,0.531,NA,NA
"222","Southern N.H.",99,1282,529,3576,0.211,0.358501118568233,0.147930648769575,19,8,0.704,0.087,0.109
"223","Southern Nazarene",114,1456,585,4184,0.208,0.347992351816444,0.139818355640535,16,14,0.533,0.057,0.077
"224","Southern Wesleyan",92,793,458,3116,0.108,0.254492939666239,0.146983311938383,3,24,0.111,0.044,0.067
"225","Southwest Baptist",108,1243,603,3913,0.164,0.317659085100946,0.154101712241247,14,14,0.5,0.072,0.075
"226","Southwest Minn. St.",109,1520,578,3836,0.246,0.396246089676747,0.150677789363921,23,6,0.793,0.035,0.06
"227","Southwestern Okla.",107,1407,578,4066,0.204,0.346040334481062,0.142154451549434,17,12,0.586,0.066,0.065
"228","Spring Hill",122,1657,587,4436,0.241,0.373534715960325,0.132326420198377,29,8,0.784,0.088,0.067
"229","St. Anselm",107,1354,581,3870,0.2,0.349870801033592,0.150129198966408,21,10,0.677,0.072,0.098
"230","St. Cloud St.",121,1717,559,4161,0.278,0.412641192021149,0.134342706080269,28,6,0.824,0.094,0.099
"231","St. Edward's",106,1200,529,4056,0.165,0.29585798816568,0.130424063116371,9,18,0.333,0.053,0.081
"232","St. Mary's (TX)",102,1179,576,3794,0.159,0.310753821823933,0.151818661043753,14,14,0.5,0.074,0.061
"233","Stanislaus St.",108,1333,461,3802,0.229,0.350604944765913,0.121251972645976,19,10,0.655,0.085,0.077
"234","Tampa",117,1557,491,4134,0.258,0.376632801161103,0.118771165940977,29,4,0.879,0.076,0.064
"235","Tex. A&M Int'l",115,1514,595,4379,0.21,0.345741036766385,0.13587577072391,23,8,0.742,0.062,0.067
"236","Tex. A&M-Kingsville",112,1551,599,4426,0.215,0.350429281518301,0.135336647085404,20,10,0.667,0.05,0.075
"237","Tex. Permian Basin",102,1126,559,3812,0.149,0.295383001049318,0.146642182581322,11,16,0.407,0.071,0.072
"238","Texas Woman's",107,1284,555,3811,0.191,0.33691944371556,0.145631067961165,16,12,0.571,0.066,0.082
"239","Tiffin",120,1434,674,4434,0.171,0.3234100135318,0.152007216959856,15,17,0.469,0.07,0.078
"240","Trevecca Nazarene",115,1399,595,4068,0.198,0.343903638151426,0.146263520157325,21,12,0.636,0.086,0.105
"241","Truman St.",85,899,454,3000,0.148,0.299666666666667,0.151333333333333,3,20,0.13,0.075,0.087
"242","Tusculum",93,1175,497,3317,0.204,0.354235755200482,0.149834187518842,14,12,0.538,0.039,0.081
"243","Tuskegee",83,626,573,2500,0.021,0.2504,0.2292,2,25,0.074,0.049,0.073
"244","UC-Colo. Springs",88,1081,524,3078,0.181,0.351202079272255,0.170240415854451,13,13,0.5,0.077,0.087
"245","UIndy",102,1315,506,3743,0.216,0.351322468608068,0.13518567993588,13,14,0.481,0.059,0.037
"246","UNC Pembroke",130,1553,665,4505,0.197,0.34472807991121,0.147613762486127,21,14,0.6,0.079,0.088
"247","Union (TN)",112,1365,500,3861,0.224,0.353535353535354,0.12950012950013,22,10,0.688,0.082,0.106
