"","Team","S","Kills","Errors","Total.Attacks","Hitting.Pct.","X","Y","Wins","Losses","Win.Pct","Ace.Pct","Serving.Error.Pct"
"1","Academy of Art",103,1114,568,3537,0.154,0.314956177551597,0.160588068985016,6,23,0.207,0.079,0.077
"2","Adams St.",94,1127,560,3288,0.172,0.342761557177616,0.170316301703163,8,18,0.308,0.053,0.076
"3","Adelphi",125,1584,615,4541,0.213,0.3488218454085,0.135432724069588,23,11,0.676,0.052,0.078
"4","Alabama Huntsville",121,1364,696,4178,0.16,0.326471996170416,0.1665868836764,16,16,0.5,0.08,0.11
"5","Alas. Anchorage",105,1363,435,3435,0.27,0.396797671033479,0.126637554585153,27,3,0.9,0.095,0.083
"6","Alas. Fairbanks",115,1393,648,3890,0.192,0.358097686375321,0.166580976863753,18,12,0.6,0.091,0.091
"7","Albany St. (GA)",80,932,438,2631,0.188,0.354237932345116,0.166476624857469,19,8,0.704,0.055,0.109
"8","Alderson Broaddus",92,905,576,3139,0.105,0.288308378464479,0.18349792927684,8,18,0.308,NA,NA
"9","Alliance",97,774,527,2969,0.083,0.260693836308521,0.177500842034355,2,28,0.067,NA,NA
"10","American Int'l",114,1576,532,3931,0.266,0.400915797506996,0.13533452047825,30,3,0.909,0.111,0.079
"11","Anderson (SC)",106,1442,524,3814,0.241,0.378080755112743,0.137388568432092,21,8,0.724,0.07,0.059
"12","Angelo St.",108,1319,633,4091,0.168,0.322415057443168,0.154729894891225,11,18,0.379,0.048,0.078
"13","Ark.-Fort Smith",115,1460,587,4397,0.199,0.332044575847169,0.133500113713896,16,14,0.533,0.072,0.078
"14","Ark.-Monticello",101,1152,649,3509,0.143,0.328298660587062,0.184952978056426,10,19,0.345,0.062,0.106
"15","Arkansas Tech",107,1178,677,3921,0.128,0.300433562866616,0.172660035705177,8,22,0.267,0.08,0.118
"16","Ashland",107,1418,496,3975,0.232,0.356729559748428,0.124779874213836,23,9,0.719,0.05,0.067
"17","Assumption",61,560,318,2055,0.118,0.272506082725061,0.154744525547445,1,16,0.059,NA,NA
"18","Augusta",128,1606,702,4829,0.187,0.332574031890661,0.14537171256989,25,8,0.758,0.067,0.071
"19","Augustana (SD)",110,1481,662,4101,0.2,0.361131431358205,0.161424042916362,20,10,0.667,0.07,0.079
"20","AUM",131,1547,711,4567,0.183,0.338734398948982,0.155682067002409,17,18,0.486,0.06,0.076
"21","Azusa Pacific",103,1274,456,3622,0.226,0.351739370513528,0.125897294312535,15,14,0.517,0.067,0.077
"22","Barry",118,1584,515,4089,0.261,0.387380777696258,0.12594766446564,28,6,0.824,0.055,0.09
"23","Barton",87,980,456,2998,0.175,0.326884589726484,0.152101400933956,8,17,0.32,0.062,0.079
"24","Belmont Abbey",111,1155,731,3752,0.113,0.307835820895522,0.194829424307036,6,26,0.188,0.085,0.141
"25","Bemidji St.",101,1038,574,3312,0.14,0.313405797101449,0.173309178743961,4,24,0.143,0.059,0.083
"26","Benedict",88,917,518,2932,0.136,0.312755798090041,0.176671214188267,12,13,0.48,NA,NA
"27","Bentley",102,1294,469,3629,0.227,0.356572058418297,0.129236704326261,23,7,0.767,0.096,0.102
"28","Biola",102,1277,572,3317,0.213,0.384986433524269,0.172444980403979,17,10,0.63,0.076,0.088
"29","Black Hills St.",97,1077,574,3416,0.147,0.315281030444965,0.168032786885246,5,21,0.192,0.069,0.104
"30","Bloomfield",94,1129,540,2981,0.198,0.378731969137873,0.181147266018115,18,8,0.692,0.048,0.079
"31","Bloomsburg",102,978,553,3585,0.119,0.272803347280335,0.154253835425384,6,21,0.222,0.086,0.125
"32","Bluefield St.",84,880,443,2581,0.169,0.340953118946145,0.171638899651298,13,14,0.481,0.053,0.053
"33","Bowie St.",80,737,451,2241,0.128,0.328871039714413,0.201249442213298,10,12,0.455,0.029,0.088
"34","Bridgeport",121,1449,681,4055,0.189,0.357336621454994,0.167940813810111,14,19,0.424,NA,NA
"35","Cal Poly Humboldt",77,719,418,2592,0.116,0.277391975308642,0.161265432098765,2,19,0.095,NA,NA
"36","Cal Poly Pomona",109,1425,444,3789,0.259,0.376088677751386,0.117181314330958,24,6,0.8,0.071,0.091
"37","Cal St. Dom. Hills",98,1065,538,3452,0.153,0.308516801853998,0.1558516801854,6,19,0.24,0.077,0.099
"38","Cal St. East Bay",102,1265,478,3460,0.227,0.365606936416185,0.138150289017341,20,7,0.741,0.08,0.086
"39","Cal St. Monterey Bay",93,1064,484,3467,0.167,0.306893567926161,0.13960196134987,10,15,0.4,0.071,0.077
"40","Cal St. San B'dino",107,1326,423,3669,0.246,0.361406377759608,0.115290269828291,20,7,0.741,0.069,0.09
"41","Cal St. San Marcos",90,954,478,2913,0.163,0.327497425334706,0.164092001373155,8,17,0.32,0.053,0.076
"42","Cal State LA",111,1459,554,3685,0.246,0.395929443690638,0.15033921302578,25,7,0.781,0.096,0.089
"43","Caldwell",97,1004,503,3347,0.15,0.299970122497759,0.150283836271288,9,17,0.346,NA,NA
"44","California (PA)",95,1045,536,3273,0.156,0.319278948976474,0.163764130766881,12,13,0.48,0.139,0.133
"45","Cameron",110,1048,547,3972,0.126,0.263846928499496,0.137713997985901,5,26,0.161,0.077,0.096
"46","Carson-Newman",115,1522,613,4178,0.218,0.364289133556726,0.146720919100048,27,6,0.818,0.073,0.087
"47","Catawba",89,935,553,2984,0.128,0.313337801608579,0.185321715817694,8,17,0.32,0.075,0.11
"48","Cedarville",106,1314,587,3836,0.19,0.342544316996872,0.153023983315954,13,15,0.464,0.055,0.078
"49","Central Mo.",115,1553,549,4539,0.221,0.342145847102886,0.120951751487112,19,11,0.633,0.053,0.06
"50","Central Okla.",117,1709,573,4909,0.231,0.348136076594011,0.116724383784885,24,7,0.774,0.066,0.077
"51","Central St. (OH)",111,1024,747,3754,0.074,0.272775705913692,0.198987746403836,4,26,0.133,0.021,0.117
"52","Central Wash.",107,1381,529,3724,0.229,0.370837808807734,0.142051557465091,17,11,0.607,0.071,0.092
"53","Chadron St.",98,993,450,3369,0.161,0.294746215494212,0.133570792520036,7,20,0.259,0.06,0.065
"54","Chaminade",119,1528,537,4052,0.245,0.377097729516288,0.132527147087858,26,8,0.765,0.093,0.102
"55","Charleston (WV)",135,1829,579,5050,0.248,0.362178217821782,0.114653465346535,33,5,0.868,0.04,0.095
"56","Chestnut Hill",108,1322,682,3744,0.171,0.353098290598291,0.18215811965812,14,15,0.483,NA,NA
"57","Chico St.",87,899,553,2972,0.116,0.302489905787349,0.18606998654105,3,22,0.12,0.063,0.092
"58","Chowan",110,1104,644,3964,0.116,0.278506559031282,0.162462159434914,10,20,0.333,0.083,0.062
"59","Christian Brothers",95,960,582,3354,0.113,0.286225402504472,0.173524150268336,4,22,0.154,0.079,0.133
"60","Claflin",76,715,332,2476,0.155,0.288772213247173,0.134087237479806,12,10,0.545,NA,NA
"61","Clarion",115,1653,597,4094,0.258,0.403761602344895,0.145823155837811,28,5,0.848,0.11,0.137
"62","Clark Atlanta",94,927,526,2966,0.135,0.31254214430209,0.177343223196224,13,20,0.394,0.032,0.111
"63","Coker",83,719,492,2797,0.081,0.257061136932428,0.175902752949589,5,20,0.2,0.065,0.061
